10;23,250000;6,370832;27,750000;1,042833
20;90,950000;15,246229;75,350000;1,235921
40;392,800000;49,124943;192,950000;2,085066
50;597,300000;62,301766;258,450000;2,635811
60;864,450000;82,754743;327,750000;2,826217
80;1541,850000;90,625203;469,500000;2,729469
100;2422,500000;163,430566;620,500000;3,339162
150;5583,600000;291,644030;1019,100000;4,526588
200;9800,050000;473,720221;1446,350000;5,676927
300;22333,400000;915,008710;2343,650000;6,747407
500;61634,900000;1765,862308;4283,250000;9,049171
600;88096,000000;2284,571470;5299,550000;10,786450
800;159395,950000;4062,076999;7398,350000;16,025839
1000;246385,750000;5911,350073;9569,850000;12,877403
1250;387436,250000;6198,821322;12356,850000;15,790108
1500;556834,450000;9195,159697;15236,850000;13,628188
2000;988487,950000;18070,608646;21136,650000;20,137713
2500;1539831,600000;18880,103518;27228,350000;22,032419
3000;2230336,450000;25962,765337;33474,650000;17,981310
4000;3967192,600000;38329,316986;46292,300000;23,543789
5000;6202352,350000;36495,696409;59465,400000;30,198344
10000;24719621,350000;120880,093257;128934,150000;42,219989
