10;22,550000;5,580995;42,900000;2,278157
20;96,900000;13,482952;172,450000;7,506497
40;359,050000;41,695893;625,450000;47,015396
50;616,150000;71,207637;1020,550000;60,039549
60;878,300000;90,814151;1461,700000;99,210433
80;1531,900000;143,367674;2499,100000;156,300960
100;2441,250000;194,044808;3952,150000;220,151601
150;5459,900000;328,201904;8636,250000;444,494868
200;10006,100000;408,196754;15558,250000;534,923534
300;22301,800000;770,265253;34579,150000;865,296035
500;62269,800000;1849,070269;96333,450000;2297,056388
600;88883,850000;2461,854530;137571,750000;3548,954422
800;157024,450000;2889,466689;242202,300000;4144,034509
1000;248431,300000;4748,636216;379804,400000;6417,623738
1250;387022,300000;6797,951251;590240,550000;11134,513260
1500;552069,450000;7994,104587;845328,800000;12519,958018
2000;994025,900000;17156,686638;1516436,100000;24140,710147
2500;1545948,850000;22461,043616;2359550,100000;26450,031695
3000;2234961,450000;32732,951649;3395454,450000;43733,261833
4000;3975772,750000;45874,665973;6061524,850000;52704,918997
5000;6170615,400000;31110,826324;9395177,550000;59037,731518
10000;24721748,250000;170472,189166;37571217,900000;240035,681070
