10;20,750000;4,345975;27,000000;0,836660
20;97,000000;16,864163;76,300000;1,846619
40;360,750000;44,421701;193,500000;2,061553
50;614,950000;62,533571;259,900000;2,913760
60;890,700000;69,423411;327,600000;2,764055
80;1570,300000;92,981772;470,650000;2,920188
100;2407,000000;193,044813;619,900000;5,726255
150;5675,000000;276,686827;1019,950000;4,543952
200;9951,200000;597,916014;1446,000000;4,949747
300;21823,250000;944,940785;2349,550000;6,192536
500;63283,050000;2241,914327;4285,400000;9,107140
600;89106,150000;2303,405984;5293,100000;8,437417
800;160307,200000;2971,864492;7400,000000;13,831124
1000;249737,300000;6664,223624;9572,250000;10,671809
1250;390085,050000;7556,411665;12365,600000;13,839798
1500;562478,850000;8400,556531;15242,700000;16,870388
2000;992110,100000;14761,743047;21151,450000;12,072593
2500;1555857,850000;21754,995744;27237,300000;17,700565
3000;2255272,000000;35949,117537;33488,750000;21,646882
4000;3998442,000000;38432,590174;46323,100000;20,258085
5000;6256249,700000;45509,260096;59481,100000;23,147138
10000;25019293,150000;160247,180752;128976,400000;33,332267
