10;7,050000;1,071214;45,000000;0,000000
20;16,400000;1,319091;190,000000;0,000000
40;35,300000;1,345362;780,000000;0,000000
50;44,900000;2,447448;1225,000000;0,000000
60;54,600000;1,685230;1770,000000;0,000000
80;74,450000;1,802082;3160,000000;0,000000
100;95,500000;2,179449;4950,000000;0,000000
150;142,600000;2,200000;11175,000000;0,000000
200;192,400000;2,177154;19900,000000;0,000000
300;291,250000;2,046338;44850,000000;0,000000
500;490,300000;2,347339;124750,000000;0,000000
600;589,550000;2,479415;179700,000000;0,000000
800;786,750000;3,112475;319600,000000;0,000000
1000;984,550000;2,783433;499500,000000;0,000000
1250;1232,600000;3,168596;780625,000000;0,000000
1500;1479,400000;3,746999;1124250,000000;0,000000
2000;1973,100000;7,408779;1999000,000000;0,000000
2500;2471,150000;5,685728;3123750,000000;0,000000
3000;2964,500000;5,563272;4498500,000000;0,000000
4000;3956,250000;6,556485;7998000,000000;0,000000
5000;4944,450000;7,088547;12497500,000000;0,000000
10000;9897,800000;13,272528;49995000,000000;0,000000
