10;0,000000;0,000000;25,000000;0,000000
20;0,000000;0,000000;69,000000;0,000000
40;0,000000;0,000000;177,000000;0,000000
50;0,000000;0,000000;237,000000;0,000000
60;0,000000;0,000000;297,000000;0,000000
80;0,000000;0,000000;433,000000;0,000000
100;0,000000;0,000000;573,000000;0,000000
150;0,000000;0,000000;945,000000;0,000000
200;0,000000;0,000000;1345,000000;0,000000
300;0,000000;0,000000;2189,000000;0,000000
500;0,000000;0,000000;3989,000000;0,000000
600;0,000000;0,000000;4977,000000;0,000000
800;0,000000;0,000000;6977,000000;0,000000
1000;0,000000;0,000000;8977,000000;0,000000
1250;0,000000;0,000000;11703,000000;0,000000
1500;0,000000;0,000000;14453,000000;0,000000
2000;0,000000;0,000000;19953,000000;0,000000
2500;0,000000;0,000000;25905,000000;0,000000
3000;0,000000;0,000000;31905,000000;0,000000
4000;0,000000;0,000000;43905,000000;0,000000
5000;0,000000;0,000000;56809,000000;0,000000
10000;0,000000;0,000000;123617,000000;0,000000
